aeroporto_partenza,mese,numero_ritardi_basso,dep_avg_basso,arr_avg_basso,numero_ritardi_medio,dep_avg_medio,arr_avg_medio,numero_ritardo_alto,dep_avg_alto,arr_avg_alto,cause_maggiori
ABE,1,230,-4.59,-9.83,31,34.32,32.5,30,241.3,234.03,"['NAS (46 voli)', 'Carrier (32 voli)', 'Late Aircraft (32 voli)']"
ABE,2,219,-5.38,-13.5,20,29.7,10.11,14,227.93,217.93,"['Carrier (16 voli)', 'NAS (16 voli)', 'Late Aircraft (12 voli)']"
ABE,3,274,-5.41,-13.97,28,30.68,19.89,23,173.43,163.39,"['Late Aircraft (19 voli)', 'NAS (19 voli)', 'Carrier (17 voli)']"
ABE,4,254,-5.6,-13.7,29,33.45,27.66,29,258.66,250.38,"['Carrier (28 voli)', 'Late Aircraft (26 voli)', 'NAS (21 voli)']"
ABE,5,296,-5.91,-10.51,26,30.08,29.58,40,180.63,177.13,"['NAS (36 voli)', 'Late Aircraft (31 voli)', 'Carrier (28 voli)']"
ABE,6,293,-6.15,-13.49,38,27.39,17.22,38,173.92,172.32,"['Carrier (35 voli)', 'Late Aircraft (32 voli)', 'NAS (21 voli)']"
ABE,7,270,-6.11,-9.47,41,34.61,30.15,37,138.08,137.08,"['Carrier (54 voli)', 'Late Aircraft (48 voli)', 'NAS (40 voli)']"
ABE,8,269,-6.22,-12.35,42,32.02,27.98,27,146.96,144.3,"['Late Aircraft (37 voli)', 'NAS (36 voli)', 'Carrier (33 voli)']"
ABE,9,246,-6.26,-13.22,25,37.84,32.88,15,181.93,177.8,"['Late Aircraft (21 voli)', 'Carrier (19 voli)', 'NAS (16 voli)']"
ABE,10,262,-5.34,-14.97,31,26.23,11.97,18,193.17,183.83,"['Carrier (20 voli)', 'Late Aircraft (20 voli)', 'NAS (13 voli)']"
ABE,11,235,-5.57,-12.93,24,31.63,21.75,14,165.21,152.43,"['Late Aircraft (18 voli)', 'Carrier (15 voli)', 'NAS (12 voli)']"
ABE,12,242,-4.22,-9.88,34,32.5,24.58,33,192.33,185.21,"['Carrier (47 voli)', 'Late Aircraft (37 voli)', 'NAS (32 voli)']"
ABI,1,124,-6.23,-3.83,11,38.91,36.73,13,113.46,123.85,"['Late Aircraft (20 voli)', 'NAS (17 voli)', 'Weather (14 voli)']"
ABI,2,132,-6.43,-5.87,8,33.88,33.75,1,99.0,88.0,"['NAS (11 voli)', 'Late Aircraft (7 voli)', 'Carrier (6 voli)']"
ABI,3,120,-4.21,-6.95,13,24.08,27.08,12,132.67,134.08,"['Late Aircraft (17 voli)', 'NAS (16 voli)', 'Weather (8 voli)']"
ABI,4,115,-4.19,-9.9,15,31.47,29.6,12,129.67,126.17,"['Late Aircraft (19 voli)', 'Weather (13 voli)', 'NAS (12 voli)']"
ABI,5,93,-2.91,-7.02,26,27.88,25.04,22,190.68,195.59,"['Late Aircraft (25 voli)', 'NAS (23 voli)', 'Carrier (14 voli)']"
ABI,6,112,-4.65,-10.25,18,28.33,25.72,13,116.54,108.77,"['Late Aircraft (20 voli)', 'NAS (14 voli)', 'Carrier (10 voli)']"
ABI,7,116,-4.23,-8.73,23,30.13,30.87,10,127.0,122.5,"['Late Aircraft (26 voli)', 'NAS (15 voli)', 'Carrier (11 voli)']"
ABI,8,132,-6.14,-8.8,12,27.25,22.67,2,91.5,89.5,"['Late Aircraft (9 voli)', 'Carrier (7 voli)', 'NAS (5 voli)']"
ABI,9,124,-5.33,-8.06,14,28.43,23.43,8,108.88,99.13,"['Late Aircraft (11 voli)', 'Carrier (10 voli)', 'NAS (9 voli)']"
ABI,10,142,-5.69,-12.23,3,32.0,32.0,4,135.5,125.5,"['Carrier (4 voli)', 'Late Aircraft (4 voli)', 'NAS (2 voli)']"
