aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
ABE,1,230,31,30,"['Carrier (3134 min)', 'Late Aircraft (3020 min)', 'Weather (1273 min)']"
ABE,2,219,20,14,"['Carrier (1762 min)', 'NAS (759 min)', 'Late Aircraft (757 min)']"
ABE,3,274,28,23,"['Carrier (1588 min)', 'Late Aircraft (1571 min)', 'NAS (1250 min)']"
ABE,4,254,29,29,"['Carrier (4242 min)', 'Late Aircraft (2357 min)', 'NAS (1218 min)']"
ABE,5,296,26,40,"['Late Aircraft (3839 min)', 'NAS (2034 min)', 'Carrier (1805 min)']"
ABE,6,293,38,38,"['Carrier (3287 min)', 'Late Aircraft (2337 min)', 'NAS (1386 min)']"
ABE,7,270,41,37,"['Late Aircraft (3022 min)', 'Carrier (2395 min)', 'NAS (1159 min)']"
ABE,8,269,42,27,"['Late Aircraft (2169 min)', 'Carrier (1505 min)', 'NAS (1261 min)']"
ABE,9,246,25,15,"['Late Aircraft (1516 min)', 'Carrier (1080 min)', 'Weather (728 min)']"
ABE,10,262,31,18,"['Late Aircraft (1884 min)', 'Carrier (1564 min)', 'NAS (148 min)']"
ABE,11,235,24,14,"['Late Aircraft (1031 min)', 'Carrier (814 min)', 'NAS (688 min)']"
ABE,12,242,34,33,"['Carrier (2757 min)', 'Late Aircraft (2729 min)', 'Weather (1039 min)']"
ABI,1,124,11,13,"['Late Aircraft (1099 min)', 'Weather (583 min)', 'NAS (580 min)']"
ABI,2,132,8,1,"['NAS (186 min)', 'Carrier (140 min)', 'Late Aircraft (133 min)']"
ABI,3,120,13,12,"['Late Aircraft (866 min)', 'Carrier (553 min)', 'Weather (354 min)']"
ABI,4,115,15,12,"['Weather (945 min)', 'Late Aircraft (837 min)', 'NAS (184 min)']"
ABI,5,93,26,22,"['Late Aircraft (2513 min)', 'Carrier (1259 min)', 'Weather (772 min)']"
ABI,6,112,18,13,"['Late Aircraft (1080 min)', 'Carrier (525 min)', 'NAS (166 min)']"
ABI,7,116,23,10,"['Late Aircraft (1066 min)', 'Carrier (692 min)', 'NAS (276 min)']"
ABI,8,132,12,2,"['Late Aircraft (330 min)', 'Carrier (101 min)', 'NAS (92 min)']"
ABI,9,124,14,8,"['Carrier (498 min)', 'Late Aircraft (457 min)', 'NAS (143 min)']"
ABI,10,142,3,4,"['Carrier (388 min)', 'Late Aircraft (193 min)', 'NAS (53 min)']"
ABI,11,127,8,6,"['Weather (365 min)', 'Carrier (217 min)', 'Late Aircraft (213 min)']"
ABI,12,131,7,12,"['Late Aircraft (795 min)', 'Carrier (428 min)', 'NAS (276 min)']"
ABQ,1,1436,200,116,"['Late Aircraft (12551 min)', 'Carrier (4721 min)', 'NAS (3891 min)']"
ABQ,2,1382,156,65,"['Late Aircraft (6589 min)', 'Carrier (4966 min)', 'NAS (3381 min)']"
ABQ,3,1488,251,115,"['Late Aircraft (12524 min)', 'Carrier (6978 min)', 'NAS (5109 min)']"
ABQ,4,1512,263,94,"['Late Aircraft (9162 min)', 'Carrier (5145 min)', 'NAS (4199 min)']"
ABQ,5,1594,321,161,"['Late Aircraft (14863 min)', 'Carrier (10513 min)', 'NAS (4968 min)']"
ABQ,6,1617,310,126,"['Late Aircraft (13308 min)', 'Carrier (8934 min)', 'NAS (3388 min)']"
ABQ,7,1584,332,168,"['Late Aircraft (20303 min)', 'Carrier (10036 min)', 'NAS (4611 min)']"
ABQ,8,1697,234,125,"['Late Aircraft (11205 min)', 'Carrier (7948 min)', 'NAS (3677 min)']"
ABQ,9,1727,221,66,"['Late Aircraft (5815 min)', 'Carrier (5096 min)', 'NAS (2253 min)']"
ABQ,10,2094,212,75,"['Late Aircraft (6567 min)', 'Carrier (5807 min)', 'NAS (2653 min)']"
ABQ,11,1704,185,71,"['Late Aircraft (6446 min)', 'NAS (5524 min)', 'Carrier (4694 min)']"
ABQ,12,1655,223,89,"['Late Aircraft (10929 min)', 'Carrier (4472 min)', 'NAS (3395 min)']"
ABR,1,44,5,5,"['Carrier (335 min)', 'Weather (302 min)', 'NAS (8 min)']"
ABR,2,40,3,2,"['Weather (609 min)', 'Carrier (48 min)', 'NAS (0 min)']"
ABR,3,37,3,7,"['Carrier (988 min)', 'Weather (246 min)', 'NAS (0 min)']"
ABR,4,53,1,3,"['Carrier (688 min)', 'Weather (344 min)', 'NAS (0 min)']"
ABR,5,53,3,6,"['Carrier (772 min)', 'Weather (119 min)', 'NAS (1 min)']"
ABR,6,42,11,7,"['Carrier (2304 min)', 'Weather (355 min)', 'NAS (330 min)']"
ABR,7,48,6,7,"['Carrier (948 min)', 'NAS (180 min)', 'Weather (85 min)']"
ABR,8,50,6,6,"['Carrier (1252 min)', 'Weather (284 min)', 'NAS (189 min)']"
ABR,9,51,0,3,"['Carrier (463 min)', 'Weather (0 min)', 'NAS (0 min)']"
ABR,10,50,6,6,"['Carrier (1209 min)', 'Weather (53 min)', 'NAS (1 min)']"
ABR,11,49,5,3,"['Carrier (349 min)', 'Weather (0 min)', 'NAS (0 min)']"
ABR,12,38,8,10,"['Carrier (3445 min)', 'Weather (300 min)', 'NAS (90 min)']"
ABY,1,50,5,7,"['Carrier (1769 min)', 'Weather (337 min)', 'NAS (40 min)']"
ABY,2,45,7,6,"['Carrier (944 min)', 'Weather (281 min)', 'NAS (31 min)']"
ABY,3,56,2,4,"['Carrier (577 min)', 'Weather (25 min)', 'NAS (0 min)']"
ABY,4,49,7,4,"['Carrier (806 min)', 'NAS (101 min)', 'Weather (33 min)']"
ABY,5,47,6,8,"['Carrier (937 min)', 'Weather (219 min)', 'NAS (120 min)']"
ABY,6,50,5,4,"['Carrier (456 min)', 'NAS (9 min)', 'Weather (0 min)']"
ABY,7,39,7,13,"['Carrier (2295 min)', 'Weather (375 min)', 'NAS (158 min)']"
ABY,8,44,8,9,"['Weather (1318 min)', 'Carrier (1203 min)', 'NAS (7 min)']"
ABY,9,46,6,5,"['Carrier (592 min)', 'Weather (128 min)', 'NAS (52 min)']"
ABY,10,59,2,1,"['Carrier (229 min)', 'NAS (14 min)', 'Weather (0 min)']"
ABY,11,70,4,3,"['Carrier (801 min)', 'Weather (80 min)', 'NAS (21 min)']"
ABY,12,54,6,15,"['Carrier (2473 min)', 'Weather (391 min)', 'Late Aircraft (177 min)']"
ACK,5,95,10,15,"['Late Aircraft (1770 min)', 'NAS (704 min)', 'Carrier (226 min)']"
ACK,6,248,33,36,"['Late Aircraft (3564 min)', 'NAS (2820 min)', 'Carrier (1590 min)']"
ACK,7,312,64,51,"['Late Aircraft (4433 min)', 'NAS (2951 min)', 'Carrier (2133 min)']"
ACK,8,344,34,47,"['Late Aircraft (4694 min)', 'NAS (3700 min)', 'Carrier (2112 min)']"
ACK,9,154,11,8,"['Late Aircraft (974 min)', 'NAS (379 min)', 'Carrier (120 min)']"
ACK,10,64,4,3,"['NAS (323 min)', 'Late Aircraft (173 min)', 'Carrier (162 min)']"
ACT,1,63,12,10,"['Late Aircraft (1347 min)', 'Carrier (1282 min)', 'Weather (496 min)']"
ACT,2,80,3,4,"['Carrier (194 min)', 'NAS (184 min)', 'Late Aircraft (111 min)']"
ACT,3,79,7,4,"['Late Aircraft (426 min)', 'NAS (294 min)', 'Weather (23 min)']"
ACT,4,70,10,6,"['Weather (940 min)', 'Late Aircraft (197 min)', 'Carrier (190 min)']"
ACT,5,68,7,11,"['Carrier (1231 min)', 'Weather (747 min)', 'NAS (477 min)']"
ACT,6,57,15,17,"['Carrier (1531 min)', 'Late Aircraft (919 min)', 'Weather (340 min)']"
ACT,7,74,8,10,"['Carrier (1344 min)', 'Weather (289 min)', 'NAS (206 min)']"
ACT,8,75,11,5,"['Late Aircraft (456 min)', 'Carrier (452 min)', 'NAS (133 min)']"
ACT,9,75,11,4,"['Carrier (520 min)', 'Late Aircraft (398 min)', 'NAS (108 min)']"
ACT,10,62,12,18,"['Carrier (1747 min)', 'Late Aircraft (524 min)', 'NAS (189 min)']"
ACT,11,73,7,4,"['Carrier (540 min)', 'Late Aircraft (445 min)', 'NAS (10 min)']"
ACT,12,58,13,16,"['Carrier (2085 min)', 'Weather (507 min)', 'NAS (167 min)']"
ACV,1,113,16,15,"['Carrier (1335 min)', 'Late Aircraft (939 min)', 'Weather (582 min)']"
ACV,2,91,22,14,"['Late Aircraft (3372 min)', 'NAS (1145 min)', 'Carrier (593 min)']"
ACV,3,100,29,13,"['NAS (1596 min)', 'Carrier (1438 min)', 'Late Aircraft (630 min)']"
ACV,4,91,14,12,"['Carrier (1050 min)', 'NAS (819 min)', 'Late Aircraft (426 min)']"
ACV,5,96,13,12,"['NAS (1077 min)', 'Late Aircraft (828 min)', 'Carrier (601 min)']"
ACV,6,95,10,9,"['Carrier (1401 min)', 'Late Aircraft (468 min)', 'NAS (287 min)']"
ACV,7,119,11,10,"['Carrier (2484 min)', 'Late Aircraft (855 min)', 'NAS (527 min)']"
ACV,8,114,16,9,"['Late Aircraft (792 min)', 'Weather (667 min)', 'NAS (499 min)']"
ACV,9,117,8,19,"['Weather (2414 min)', 'Late Aircraft (1647 min)', 'Carrier (1497 min)']"
ACV,10,147,11,20,"['Carrier (1976 min)', 'Late Aircraft (1361 min)', 'Weather (1275 min)']"
ACV,11,135,16,18,"['Weather (743 min)', 'Late Aircraft (710 min)', 'Carrier (707 min)']"
ACV,12,134,11,7,"['Carrier (1179 min)', 'NAS (451 min)', 'Weather (243 min)']"
ACY,1,216,24,9,"['NAS (1195 min)', 'Carrier (754 min)', 'Late Aircraft (661 min)']"
ACY,2,207,37,16,"['NAS (1406 min)', 'Carrier (1133 min)', 'Late Aircraft (932 min)']"
