aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
EYW,YX,1058,11.67,8.92,2.4,-8.62,1
EYW,UA,730,12.17,12.52,2.3,-8.12,2
EYW,MQ,2049,12.33,10.12,2.9,-7.96,3
EYW,DL,1313,13.71,10.11,2.2,-6.58,4
EYW,9E,159,22.29,21.96,1.9,2.00,5
EYW,G4,621,24.50,23.60,4.3,4.21,6
EYW,B6,174,31.87,22.15,2.9,11.58,7
EYW,AA,1720,40.78,38.16,3.0,20.49,8
GTF,OO,1935,4.21,-0.24,0.5,-3.19,1
GTF,UA,242,8.97,-0.87,2.5,1.57,2
GTF,G4,165,42.63,42.55,0.6,35.23,3
LRD,OO,65,8.92,8.54,0.0,-4.90,1
LRD,MQ,1596,13.09,11.51,1.6,-0.73,2
LRD,G4,128,25.40,22.44,1.6,11.58,3
ACY,NK,2891,10.04,3.87,1.9,0.00,1
HYA,YX,165,12.65,18.60,1.2,-14.05,1
HYA,B6,104,50.30,54.45,6.7,23.60,2
TOL,G4,350,19.35,14.92,1.1,-0.00,1
JNU,AS,4479,2.03,1.45,1.9,-0.31,1
JNU,DL,141,11.74,5.40,0.0,9.40,2
ACT,OO,750,14.17,14.08,2.7,-1.36,1
ACT,MQ,336,18.56,18.17,2.1,3.03,2
ORH,YX,334,0.37,-4.03,5.4,-19.30,1
ORH,9E,274,18.50,14.49,5.5,-1.17,2
ORH,B6,638,29.92,22.76,2.2,10.25,3
IDA,DL,96,7.39,9.92,0.0,-4.61,1
IDA,OO,2714,8.89,3.58,0.6,-3.11,2
IDA,G4,478,30.56,29.32,0.4,18.56,3
BMI,9E,716,7.86,1.08,1.3,-3.48,1
BMI,MQ,677,9.84,5.71,1.8,-1.50,2
BMI,F9,59,9.95,13.77,3.4,-1.39,3
BMI,G4,228,27.09,23.97,1.8,15.75,4
USA,G4,687,26.55,23.46,2.3,-0.00,1
SCK,G4,512,24.87,25.00,0.4,-0.00,1
CIU,OO,708,24.86,19.94,1.4,-0.00,1
LBL,OO,559,10.72,7.26,3.6,0.00,1
AKN,AS,169,-5.17,-1.71,0.6,0.00,1
MFR,OO,2817,7.81,3.42,1.0,-3.33,1
MFR,UA,1164,14.13,7.54,1.0,2.99,2
MFR,G4,321,29.66,27.14,1.9,18.52,3
BIL,UA,727,1.99,-0.87,0.7,-4.40,1
BIL,OO,1332,2.22,-0.51,0.6,-4.17,2
BIL,DL,778,5.52,2.71,1.3,-0.87,3
BIL,MQ,880,12.14,11.16,0.5,5.75,4
BIL,G4,356,18.72,17.32,1.4,12.33,5
LGA,YX,38159,4.18,-1.21,2.5,-8.46,1
LGA,9E,27991,9.68,2.00,4.0,-2.96,2
LGA,UA,7436,11.55,6.79,2.3,-1.09,3
LGA,NK,7057,16.27,8.93,2.8,3.63,4
LGA,WN,10784,16.45,5.66,1.9,3.81,5
LGA,DL,24550,16.47,8.84,1.6,3.83,6
LGA,AA,15188,18.33,12.81,2.5,5.69,7
LGA,B6,8758,21.19,14.90,2.4,8.55,8
LGA,OO,3776,24.02,19.47,3.1,11.38,9
LGA,F9,2367,32.82,26.91,3.8,20.18,10
STX,F9,19,-0.79,8.11,0.0,-17.96,1
STX,DL,115,8.77,4.74,0.9,-8.40,2
STX,B6,20,10.75,13.55,0.0,-6.42,3
STX,NK,270,15.97,16.52,3.0,-1.20,4
STX,AA,730,19.58,19.95,0.7,2.41,5
SMF,MQ,235,2.47,-2.86,0.0,-6.60,1
SMF,OO,8526,5.02,1.81,0.4,-4.05,2
SMF,AS,1130,5.97,3.98,1.6,-3.10,3
SMF,DL,3152,6.62,-0.84,0.8,-2.45,4
SMF,UA,3881,7.15,1.09,1.5,-1.92,5
SMF,HA,929,7.97,6.03,0.9,-1.10,6
SMF,F9,816,8.08,8.52,1.5,-0.99,7
SMF,WN,30286,9.29,3.26,0.5,0.22,8
SMF,NK,1782,12.31,9.37,1.6,3.24,9
SMF,AA,3425,17.45,11.33,1.6,8.38,10
SMF,B6,364,52.09,45.96,1.4,43.02,11
BLI,G4,935,1.34,-2.95,0.6,-5.56,1
BLI,WN,618,8.90,2.27,0.6,2.00,2
BLI,OO,965,11.00,12.40,0.7,4.10,3
RST,YX,14,-6.86,-7.36,0.0,-19.08,1
RST,MQ,327,8.09,5.21,0.0,-4.13,2
RST,9E,236,13.80,10.28,2.1,1.58,3
RST,OO,791,13.82,8.43,1.0,1.60,4
CWA,9E,686,4.48,-0.92,0.9,-0.00,1
AVL,YX,1075,8.88,4.41,4.7,-7.76,1
AVL,OH,2018,11.73,11.73,2.9,-4.91,2
AVL,9E,637,11.73,4.12,2.2,-4.91,3
AVL,UA,184,11.82,6.94,3.3,-4.82,4
AVL,DL,2180,13.35,5.07,2.6,-3.29,5
AVL,OO,699,17.24,15.29,4.1,0.60,6
AVL,G4,3210,18.49,15.31,3.2,1.85,7
AVL,MQ,1150,23.37,21.30,2.8,6.73,8
AVL,B6,81,26.38,25.09,1.2,9.74,9
AVL,AA,480,47.47,41.82,5.4,30.83,10
GGG,OO,495,12.74,9.22,2.0,-1.60,1
GGG,MQ,230,17.80,14.80,2.2,3.46,2
DLH,YX,484,2.61,-3.27,0.4,-9.25,1
DLH,9E,189,8.13,8.02,1.1,-3.73,2
DLH,DL,106,11.17,5.10,0.9,-0.69,3
DLH,OO,1385,15.69,9.67,1.2,3.83,4
GJT,UA,631,8.05,-1.94,0.8,-2.96,1
GJT,MQ,492,10.00,9.61,0.6,-1.01,2
GJT,OO,2530,11.04,8.67,0.9,0.03,3
GJT,G4,123,29.72,31.37,1.6,18.71,4
MHK,OO,2,3.00,-13.50,0.0,-6.15,1
MHK,MQ,875,9.16,0.73,1.8,0.01,2
SPI,G4,106,24.40,21.57,1.9,-0.00,1
LAR,OO,612,10.75,9.10,3.8,0.00,1
CDC,OO,612,4.28,-0.90,0.8,-0.00,1
PHX,MQ,8263,4.87,0.50,0.3,-6.29,1
PHX,AS,4951,4.96,4.38,2.0,-6.20,2
PHX,OO,25256,5.09,2.07,0.2,-6.07,3
PHX,HA,355,8.51,6.95,0.3,-2.65,4
PHX,UA,9945,9.24,2.91,1.7,-1.92,5
PHX,DL,10120,9.28,2.03,0.7,-1.88,6
PHX,WN,66144,12.14,5.29,0.5,0.98,7
PHX,F9,9389,13.33,10.57,1.2,2.17,8
PHX,AA,53910,14.09,9.37,0.6,2.93,9
PHX,G4,409,17.20,14.80,1.0,6.04,10
PHX,NK,1122,19.12,16.37,2.1,7.96,11
PHX,B6,884,35.02,29.52,1.2,23.86,12
TPA,YX,23,5.57,5.83,0.0,-9.01,1
TPA,NK,5773,8.77,5.73,3.0,-5.81,2
TPA,WN,23991,12.68,7.88,2.2,-1.90,3
TPA,UA,8350,12.92,8.81,3.1,-1.66,4
TPA,DL,12660,14.16,9.09,2.1,-0.42,5
TPA,MQ,1245,15.53,13.59,2.9,0.95,6
TPA,F9,6451,16.13,12.73,2.9,1.55,7
TPA,AA,12636,18.70,15.69,2.8,4.12,8
TPA,B6,5081,20.18,15.16,2.8,5.60,9
TPA,AS,1043,21.31,19.52,4.7,6.73,10
TPA,9E,8,77.62,87.62,0.0,63.04,11
LBF,OO,595,8.58,9.54,2.0,-0.00,1
CHS,YX,2192,4.52,0.21,1.4,-6.91,1
CHS,AS,318,5.45,2.28,2.8,-5.98,2
CHS,WN,3513,8.06,3.06,0.6,-3.37,3
CHS,OH,1690,8.12,6.27,1.9,-3.31,4
CHS,MQ,902,8.90,5.32,1.6,-2.53,5
CHS,UA,2173,9.89,5.71,1.3,-1.54,6
CHS,DL,3837,9.91,4.77,0.9,-1.52,7
CHS,9E,1949,10.63,4.58,4.4,-0.80,8
CHS,G4,203,13.70,12.87,3.0,2.27,9
CHS,OO,367,15.12,13.19,1.4,3.69,10
CHS,B6,1800,16.52,12.24,1.7,5.09,11
CHS,AA,4820,16.65,13.78,1.9,5.22,12
CHS,F9,173,19.09,14.78,2.3,7.66,13
CHS,NK,1255,19.64,14.31,3.2,8.21,14
PIB,OO,593,14.66,11.02,3.0,0.00,1
GTR,9E,713,2.65,-3.07,1.1,0.00,1
EWR,OO,1,-4.00,9.00,0.0,-19.69,1
EWR,YX,21400,5.28,-0.56,3.4,-10.41,2
EWR,G4,572,12.22,5.60,1.0,-3.47,3
EWR,AS,2896,15.91,11.84,3.3,0.22,4
EWR,UA,64314,16.46,11.22,2.5,0.77,5
EWR,B6,4982,18.85,14.66,2.2,3.16,6
EWR,NK,9670,19.57,11.48,3.5,3.88,7
EWR,MQ,740,20.64,15.14,4.1,4.95,8
EWR,DL,6347,21.61,16.57,1.2,5.92,9
EWR,9E,1584,23.37,20.56,4.0,7.68,10
EWR,AA,6259,25.27,17.71,2.7,9.58,11
EWR,F9,355,33.38,28.86,1.7,17.69,12
JLN,OO,577,20.67,15.53,2.1,0.00,1
ESC,OO,594,12.30,8.91,0.8,-0.00,1
PIE,G4,8042,10.81,8.56,2.7,-0.00,1
PSM,G4,303,24.53,20.99,2.6,0.00,1
CKB,G4,206,37.29,35.76,2.4,0.00,1
GRK,MQ,1301,12.64,9.78,1.4,-0.14,1
GRK,OO,494,13.16,11.30,3.8,0.38,2
DHN,9E,528,8.27,4.14,0.6,-2.06,1
DHN,OO,229,15.10,11.69,1.3,4.77,2
GRB,9E,66,2.50,-7.68,0.0,-11.21,1
GRB,YX,178,3.68,1.27,1.1,-10.03,2
GRB,MQ,368,9.77,7.19,1.9,-3.94,3
GRB,OO,2986,14.09,10.02,1.5,0.38,4
