aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
ABE,9E,935,10.88,3.93,1.5,-3.45,1
ABE,G4,1631,11.05,5.62,1.8,-3.28,2
ABE,OH,999,17.1,8.23,1.5,2.77,3
ABE,OO,283,35.3,29.38,4.2,20.97,4
ABI,MQ,1756,7.27,4.43,0.9,0.0,1
ABQ,AA,2994,17.44,14.93,2.1,8.14,8
ABQ,AS,409,9.11,5.93,1.0,-0.19,5
ABQ,B6,249,50.43,47.05,2.0,41.13,9
ABQ,DL,1500,2.15,-4.69,0.9,-7.15,1
ABQ,MQ,901,5.36,3.51,0.7,-3.94,3
ABQ,NK,518,9.43,5.78,1.2,0.13,6
ABQ,OO,3912,2.31,-1.41,0.5,-6.99,2
ABQ,UA,1806,5.63,-0.03,1.1,-3.67,4
ABQ,WN,11576,10.52,4.46,0.5,1.22,7
ABR,OO,683,21.03,13.69,0.9,0.0,1
ABY,9E,36,10.86,6.36,0.0,-6.57,1
ABY,OO,724,17.76,16.73,1.0,0.33,2
ACK,B6,976,12.61,9.84,4.0,-1.64,1
ACK,MQ,22,21.82,22.68,0.0,7.57,3
ACK,OO,25,33.46,22.63,4.0,19.21,4
ACK,YX,602,15.91,16.75,8.6,1.66,2
ACT,MQ,336,18.56,18.17,2.1,3.03,2
ACT,OO,750,14.17,14.08,2.7,-1.36,1
ACV,OO,1720,19.25,17.63,1.9,0.0,1
ACY,NK,2891,10.04,3.89,1.9,0.0,1
ADK,AS,75,9.27,8.6,10.7,0.0,1
ADQ,AS,804,3.05,1.86,2.1,0.0,1
AEX,9E,871,14.78,9.95,1.0,-2.61,1
AEX,MQ,33,39.67,39.12,0.0,22.28,3
AEX,OO,1023,18.91,15.08,2.3,1.52,2
AGS,9E,1595,12.57,7.17,2.1,-4.44,3
AGS,AA,23,36.48,34.35,0.0,19.47,7
AGS,DL,168,17.85,12.74,0.0,0.84,4
AGS,MQ,189,8.36,0.96,2.6,-8.65,1
AGS,OH,1543,19.44,18.4,2.8,2.43,5
AGS,OO,428,27.53,21.13,1.2,10.52,6
AGS,YX,29,11.21,1.61,0.0,-5.8,2
AKN,AS,169,-5.17,-1.71,0.6,0.0,1
ALB,9E,1047,5.41,-3.14,2.0,-8.38,3
ALB,AA,1381,19.69,14.4,0.9,5.9,8
ALB,B6,725,20.66,16.8,1.4,6.87,10
ALB,DL,1270,14.65,6.35,1.5,0.86,7
ALB,G4,519,28.61,21.24,1.5,14.82,11
ALB,MQ,175,3.4,3.3,0.0,-10.39,1
ALB,OH,1069,19.88,18.33,3.4,6.09,9
ALB,OO,776,10.89,7.2,0.3,-2.9,5
ALB,UA,698,6.81,4.92,1.3,-6.98,4
ALB,WN,3484,11.62,4.36,0.9,-2.17,6
ALB,YX,307,4.07,0.5,1.6,-9.72,2
ALW,OO,544,0.2,2.82,3.3,0.0,1
AMA,AA,204,22.81,22.09,2.5,13.34,4
AMA,MQ,2068,7.82,5.58,1.7,-1.65,2
AMA,OO,840,15.42,13.59,1.8,5.95,3
AMA,WN,1922,7.28,1.3,0.5,-2.19,1
ANC,AA,452,34.74,24.85,0.4,27.96,4
ANC,AS,13950,4.03,1.89,1.7,-2.75,1
ANC,DL,2148,14.93,7.56,0.8,8.15,3
ANC,UA,1181,13.45,4.52,2.0,6.67,2
APN,OO,601,17.57,11.93,3.3,0.0,1
ASE,OO,7424,28.49,24.29,7.0,0.0,1
ATL,9E,26818,6.63,2.54,1.1,-4.5,1
ATL,AA,7552,20.6,16.93,1.8,9.47,9
ATL,AS,1351,10.29,6.86,2.1,-0.84,4
ATL,B6,2969,22.95,18.36,1.6,11.82,12
ATL,DL,226308,9.31,5.59,0.9,-1.82,3
ATL,F9,11445,25.88,21.93,2.5,14.75,13
ATL,MQ,656,15.85,13.48,2.0,4.72,7
ATL,NK,10069,20.66,13.97,1.7,9.53,10
ATL,OH,2393,18.19,15.53,1.7,7.06,8
ATL,OO,8216,20.94,17.68,0.8,9.81,11
ATL,UA,7168,13.46,8.55,1.7,2.33,6
ATL,WN,33311,12.67,6.67,0.7,1.54,5
ATL,YX,1208,9.23,6.95,1.8,-1.9,2
ATW,9E,173,11.07,10.13,0.0,-6.31,1
ATW,DL,308,11.92,4.83,1.0,-5.46,3
ATW,G4,1114,11.53,7.36,2.3,-5.85,2
ATW,MQ,717,14.72,8.92,1.4,-2.66,4
ATW,OO,3581,20.52,17.58,2.1,3.14,5
AUS,9E,377,15.44,14.4,0.5,0.88,8
AUS,AA,13648,20.73,17.68,1.5,6.17,10
AUS,AS,2765,11.69,9.48,2.6,-2.87,4
AUS,B6,760,32.94,24.9,1.1,18.38,15
AUS,DL,10857,14.86,8.17,0.9,0.3,7
AUS,F9,685,26.14,22.52,1.8,11.58,14
AUS,G4,1082,21.01,17.85,1.9,6.45,11
AUS,HA,163,22.07,27.23,0.6,7.51,12
AUS,MQ,2272,13.15,11.13,1.5,-1.41,6
